,EST,Temperature,DewPoint,Humidity,Sea Level PressureIn,VisibilityMiles,WindSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
0,01-01-16,38,23,52,30.03,10,8.0,0,5,Sunny,281
1,01-02-16,36,18,46,30.02,10,7.0,0,3,Cloudy,275
2,01-03-16,40,21,47,29.86,10,8.0,0,1,Foggy,277
3,01-04-16,25,9,44,30.05,10,9.0,0,3,Sunny,345
4,01-05-16,20,-3,41,30.57,10,5.0,0,0,Cloudy,333
5,01-06-16,33,4,35,30.5,10,4.0,0,0,Foggy,259
6,01-07-16,39,11,33,30.28,10,2.0,0,3,Sunny,293
7,01-08-16,39,29,64,30.2,10,4.0,0,8,Cloudy,79
8,01-09-16,44,38,77,30.16,9,8.0,T,8,Rain,76
9,01-10-16,50,46,71,29.59,4,5.0,1.8,7,Rain,109
10,01-11-16,33,8,37,29.92,10,9.0,0,1,Cloudy,289
11,01-12-16,35,15,53,29.85,10,6.0,T,4,Foggy,235
12,1/13/2016,26,4,42,29.94,10,10.0,0,0,Sunny,284
13,1/14/2016,30,12,47,29.95,10,5.0,T,7,Cloudy,266
14,1/15/2016,43,31,62,29.82,9,5.0,T,2,Foggy,101
15,1/16/2016,47,37,70,29.52,8,7.0,0.24,7,Rain,340
16,1/17/2016,36,23,66,29.78,8,6.0,0.05,6,Fog-Snow,345
17,1/18/2016,25,6,53,29.83,9,12.0,T,2,Snow,293
18,1/19/2016,22,3,42,30.03,10,11.0,0,1,Sunny,293
19,1/20/2016,32,15,49,30.13,10,6.0,0,2,Cloudy,302
20,1/21/2016,31,11,45,30.15,10,6.0,0,1,Foggy,312
21,1/22/2016,26,6,41,30.21,9,5.0,0.01,3,Snow,34
22,1/23/2016,26,21,78,29.77,1,16.0,2.31,8,Fog-Snow,42
23,1/24/2016,28,11,53,29.92,8,6.0,T,3,Snow,327
24,1/25/2016,34,18,54,30.25,10,3.0,0,2,Sunny,286
25,1/26/2016,43,29,56,30.03,10,7.0,0,2,Cloudy,244
26,1/27/2016,41,22,45,30.03,10,7.0,T,3,Rain,311
27,1/28/2016,37,20,51,29.9,10,5.0,0,1,Sunny,234
28,1/29/2016,36,21,50,29.58,10,8.0,0,4,Cloudy,298
29,1/30/2016,34,16,46,30.01,10,7.0,0,0,Foggy,257
30,1/31/2016,46,28,52,29.9,10,5.0,0,0,Sunny,241
